1, 1000000.000000, 1.000000, 7629.394531
2, 1000000.000000, 2.000000, 3814.697266
3, 1000000.000000, 2.000000, 3814.697266
4, 1000000.000000, 2.000000, 3814.697266
5, 1000000.000000, 2.000000, 3814.697266
6, 1000000.000000, 2.000000, 3814.697266
7, 1000000.000000, 3.000000, 2543.131510
8, 1000000.000000, 4.000000, 1907.348633
9, 1000000.000000, 5.000000, 1525.878906
10, 1000000.000000, 4.000000, 1907.348633
11, 1000000.000000, 5.000000, 1525.878906
12, 1000000.000000, 5.000000, 1525.878906
13, 1000000.000000, 5.000000, 1525.878906
14, 1000000.000000, 4.000000, 1907.348633
15, 1000000.000000, 5.000000, 1525.878906
16, 1000000.000000, 5.000000, 1525.878906
17, 1000000.000000, 5.000000, 1525.878906
18, 1000000.000000, 5.000000, 1525.878906
19, 1000000.000000, 5.000000, 1525.878906
20, 1000000.000000, 4.000000, 1907.348633
